player,height_cm
G. Xhaka,185
Rafinha,174
G. Kondogbia,188
M. Sabitzer,177
L. Shaw,181
J. Martínez,170
A. Doucouré,184
W. Ndidi,183
T. Horn,192
W. Orban,186
A. Plea,181
Y. Poulsen,193
R. Fraser,163
M. Ginter,191
R. Guerreiro,170
João Mário,179
Thiago Mendes,177
A. Izzo,183
M. Brozović,181
A. Ljajić,182
J. Corona,173
Jordi Masip,180
T. Vaclík,188
L. Milivojević,186
Gerard Moreno,180
W. Weghorst,197
Quaresma,175
J. Mathieu,189
J. Milner,175
L. López,174
B. Gomis,184
M. Dembélé,185
Cesc Fàbregas,179
A. Consigli,189
L. Koscielny,186
Jardel,192
Renato Augusto,186
José Fonte,187
A. Guardado,169
L. Piszczek,184
K. Gameiro,172
D. Payet,175
Beñat,177
Adán,190
B. Höwedes,188
F. Muslera,190
M. Sissoko,187
M. Parolo,184
Fernando,183
N. Gaitán,173
S. Giovinco,163
Luiz Gustavo,187
N. Nkoulou,184
N. Matić,194
Marcos Alonso,188
H. Mkhitaryan,177
André Almeida,185
A. Florenzi,173
E. Zahavi,182
F. Vázquez,186
Lucas Vázquez,173
Dani García,180
M. Acuña,172
Laure Santeiro,171
J. Frendado,181
S. Ardero,171
L. Dálves,188
S. Mandíquez,188
João Félix,181
N. Barella,175
J. Gomez,188
A. Christensen,187
M. Maignan,191
Y. Tielemans,176
Mario Hermoso,184
Carlos Soler,180
M. Caldara,187
H. Winks,176
K. Piątek,183
Diogo Jota,178
Marcos Llorente,184
F. Mendy,180
Melendo,167
Rúben Dias,186
D. Livaković,187
Héctor Bellerín,178
B. Mendy,185
M. Dembélé,183
O. Vlachodimos,188
Santi Mina,181
Rony Lopes,174
J. Correa,188
T. Bakayoko,189
M. Eggestein,181
Odriozola,176
M. Gómez,186
Sergi Darder,180
K. Zouma,190
L. Paredes,180
N. Aké,180
E. Hysaj,182
André Gomes,188
K. Baldé,181
J. Weigl,186
V. Rongier,172
Yeray,183
Loren,188
