Territorio,Sesso,Età,Stato civile,Value
Piemonte,maschi,0 anni,nubile/celibe,14595
Piemonte,femmine,0 anni,nubile/celibe,14264
Valle d'Aosta / Vallée d'Aoste,maschi,0 anni,nubile/celibe,472
Valle d'Aosta / Vallée d'Aoste,femmine,0 anni,nubile/celibe,417
Liguria,maschi,0 anni,nubile/celibe,4611
Liguria,femmine,0 anni,nubile/celibe,4376
Lombardia,maschi,0 anni,nubile/celibe,38869
Lombardia,femmine,0 anni,nubile/celibe,36654
Trentino Alto Adige / Südtirol,maschi,0 anni,nubile/celibe,4964
Trentino Alto Adige / Südtirol,femmine,0 anni,nubile/celibe,4683
Veneto,maschi,0 anni,nubile/celibe,18201
Veneto,femmine,0 anni,nubile/celibe,17241
Friuli-Venezia Giulia,maschi,0 anni,nubile/celibe,4035
Friuli-Venezia Giulia,femmine,0 anni,nubile/celibe,3794
Emilia-Romagna,maschi,0 anni,nubile/celibe,16842
Emilia-Romagna,femmine,0 anni,nubile/celibe,15644
Toscana,maschi,0 anni,nubile/celibe,12632
Toscana,femmine,0 anni,nubile/celibe,12213
Umbria,maschi,0 anni,nubile/celibe,3029
Umbria,femmine,0 anni,nubile/celibe,2787
Marche,maschi,0 anni,nubile/celibe,5239
Marche,femmine,0 anni,nubile/celibe,4920
Lazio,maschi,0 anni,nubile/celibe,21705
Lazio,femmine,0 anni,nubile/celibe,20415
Abruzzo,maschi,0 anni,nubile/celibe,4540
Abruzzo,femmine,0 anni,nubile/celibe,4331
Molise,maschi,0 anni,nubile/celibe,952
Molise,femmine,0 anni,nubile/celibe,920
Campania,maschi,0 anni,nubile/celibe,24740
Campania,femmine,0 anni,nubile/celibe,23096
Puglia,maschi,0 anni,nubile/celibe,14920
Puglia,femmine,0 anni,nubile/celibe,13833
Basilicata,maschi,0 anni,nubile/celibe,1850
Basilicata,femmine,0 anni,nubile/celibe,1839
Calabria,maschi,0 anni,nubile/celibe,7726
Calabria,femmine,0 anni,nubile/celibe,7310
Sicilia,maschi,0 anni,nubile/celibe,20718
Sicilia,femmine,0 anni,nubile/celibe,19619
Sardegna,maschi,0 anni,nubile/celibe,4788
Sardegna,femmine,0 anni,nubile/celibe,4503
Friuli-Venezia Giulia,femmine,1 anni,nubile/celibe,4037
Liguria,maschi,1 anni,nubile/celibe,5030
Sicilia,maschi,1 anni,nubile/celibe,21275
Umbria,femmine,1 anni,nubile/celibe,2960
Veneto,femmine,1 anni,nubile/celibe,17933
Campania,maschi,1 anni,nubile/celibe,25506
Molise,femmine,1 anni,nubile/celibe,989
Abruzzo,maschi,1 anni,nubile/celibe,4901
Toscana,maschi,1 anni,nubile/celibe,13548
Marche,maschi,1 anni,nubile/celibe,5494
Umbria,maschi,1 anni,nubile/celibe,3118
Calabria,maschi,1 anni,nubile/celibe,8032
Emilia-Romagna,femmine,1 anni,nubile/celibe,16210
Friuli-Venezia Giulia,maschi,1 anni,nubile/celibe,4187
Lombardia,femmine,1 anni,nubile/celibe,38666
Veneto,maschi,1 anni,nubile/celibe,19091
Molise,maschi,1 anni,nubile/celibe,1113
Trentino Alto Adige / Südtirol,femmine,1 anni,nubile/celibe,4829
Piemonte,femmine,1 anni,nubile/celibe,15279
Sardegna,femmine,1 anni,nubile/celibe,4878
Emilia-Romagna,maschi,1 anni,nubile/celibe,17356
Valle d'Aosta / Vallée d'Aoste,femmine,1 anni,nubile/celibe,419
Lazio,maschi,1 anni,nubile/celibe,22501
Trentino Alto Adige / Südtirol,maschi,1 anni,nubile/celibe,5118
Sicilia,femmine,1 anni,nubile/celibe,19978
Campania,femmine,1 anni,nubile/celibe,24336
Piemonte,maschi,1 anni,nubile/celibe,15739
Toscana,femmine,1 anni,nubile/celibe,12750
Basilicata,femmine,1 anni,nubile/celibe,1865
Sardegna,maschi,1 anni,nubile/celibe,5238
Abruzzo,femmine,1 anni,nubile/celibe,4593
Lombardia,maschi,1 anni,nubile/celibe,41013
Valle d'Aosta / Vallée d'Aoste,maschi,1 anni,nubile/celibe,473
Puglia,femmine,1 anni,nubile/celibe,14727
Calabria,femmine,1 anni,nubile/celibe,7649
Liguria,femmine,1 anni,nubile/celibe,4712
Basilicata,maschi,1 anni,nubile/celibe,2061
Marche,femmine,1 anni,nubile/celibe,5200
Lazio,femmine,1 anni,nubile/celibe,21826
Puglia,maschi,1 anni,nubile/celibe,15292
Campania,maschi,2 anni,nubile/celibe,25709
Lazio,femmine,2 anni,nubile/celibe,23079
Puglia,maschi,2 anni,nubile/celibe,15919
Friuli-Venezia Giulia,femmine,2 anni,nubile/celibe,4205
Sicilia,maschi,2 anni,nubile/celibe,21161
Toscana,maschi,2 anni,nubile/celibe,13985
Veneto,femmine,2 anni,nubile/celibe,18593
Umbria,femmine,2 anni,nubile/celibe,3145
Calabria,maschi,2 anni,nubile/celibe,8225
Abruzzo,maschi,2 anni,nubile/celibe,5165
Emilia-Romagna,femmine,2 anni,nubile/celibe,17212
Marche,maschi,2 anni,nubile/celibe,5933
Molise,femmine,2 anni,nubile/celibe,1010
Lombardia,femmine,2 anni,nubile/celibe,40313
Molise,maschi,2 anni,nubile/celibe,1050
Friuli-Venezia Giulia,maschi,2 anni,nubile/celibe,4439
Emilia-Romagna,maschi,2 anni,nubile/celibe,18064
Umbria,maschi,2 anni,nubile/celibe,3302
Lazio,maschi,2 anni,nubile/celibe,24471
Sicilia,femmine,2 anni,nubile/celibe,20285
Piemonte,maschi,2 anni,nubile/celibe,16507
Marche,femmine,2 anni,nubile/celibe,5530
Liguria,femmine,2 anni,nubile/celibe,4811
Sardegna,maschi,2 anni,nubile/celibe,5445
Basilicata,maschi,2 anni,nubile/celibe,2054
Basilicata,femmine,2 anni,nubile/celibe,1955
Sardegna,femmine,2 anni,nubile/celibe,5047
Puglia,femmine,2 anni,nubile/celibe,15038
Campania,femmine,2 anni,nubile/celibe,24346
Calabria,femmine,2 anni,nubile/celibe,7754
Abruzzo,femmine,2 anni,nubile/celibe,4838
Toscana,femmine,2 anni,nubile/celibe,13274
Liguria,maschi,2 anni,nubile/celibe,5226
Trentino Alto Adige / Südtirol,femmine,2 anni,nubile/celibe,5004
Trentino Alto Adige / Südtirol,maschi,2 anni,nubile/celibe,5232
Veneto,maschi,2 anni,nubile/celibe,19739
Valle d'Aosta / Vallée d'Aoste,femmine,2 anni,nubile/celibe,459
Valle d'Aosta / Vallée d'Aoste,maschi,2 anni,nubile/celibe,503
Piemonte,femmine,2 anni,nubile/celibe,15814
Lombardia,maschi,2 anni,nubile/celibe,42179
Trentino Alto Adige / Südtirol,maschi,3 anni,nubile/celibe,5296
Marche,femmine,3 anni,nubile/celibe,5866
Liguria,femmine,3 anni,nubile/celibe,5020
Sicilia,femmine,3 anni,nubile/celibe,20816
Lombardia,maschi,3 anni,nubile/celibe,44058
Calabria,femmine,3 anni,nubile/celibe,7914
Piemonte,maschi,3 anni,nubile/celibe,17281
Sardegna,maschi,3 anni,nubile/celibe,5767
Basilicata,maschi,3 anni,nubile/celibe,2078
Toscana,femmine,3 anni,nubile/celibe,13376
Marche,maschi,3 anni,nubile/celibe,6038
Liguria,maschi,3 anni,nubile/celibe,5289
Toscana,maschi,3 anni,nubile/celibe,14420
Friuli-Venezia Giulia,femmine,3 anni,nubile/celibe,4286
Lazio,femmine,3 anni,nubile/celibe,23960
Calabria,maschi,3 anni,nubile/celibe,8361
Sicilia,maschi,3 anni,nubile/celibe,22062
Molise,femmine,3 anni,nubile/celibe,1032
Campania,femmine,3 anni,nubile/celibe,24753
Puglia,femmine,3 anni,nubile/celibe,15347
Umbria,maschi,3 anni,nubile/celibe,3350
Abruzzo,femmine,3 anni,nubile/celibe,4941
Abruzzo,maschi,3 anni,nubile/celibe,5262
Campania,maschi,3 anni,nubile/celibe,26104
Veneto,femmine,3 anni,nubile/celibe,19283
Lombardia,femmine,3 anni,nubile/celibe,41429
Puglia,maschi,3 anni,nubile/celibe,16095
Molise,maschi,3 anni,nubile/celibe,1125
Emilia-Romagna,femmine,3 anni,nubile/celibe,17773
Emilia-Romagna,maschi,3 anni,nubile/celibe,18718
Friuli-Venezia Giulia,maschi,3 anni,nubile/celibe,4450
Trentino Alto Adige / Südtirol,femmine,3 anni,nubile/celibe,5003
Piemonte,femmine,3 anni,nubile/celibe,15888
Lazio,maschi,3 anni,nubile/celibe,24944
Valle d'Aosta / Vallée d'Aoste,femmine,3 anni,nubile/celibe,477
Valle d'Aosta / Vallée d'Aoste,maschi,3 anni,nubile/celibe,495
Veneto,maschi,3 anni,nubile/celibe,20194
Basilicata,femmine,3 anni,nubile/celibe,1981
Sardegna,femmine,3 anni,nubile/celibe,5309
Umbria,femmine,3 anni,nubile/celibe,3196
Veneto,femmine,4 anni,nubile/celibe,19959
Liguria,maschi,4 anni,nubile/celibe,5691
Lombardia,femmine,4 anni,nubile/celibe,42816
Valle d'Aosta / Vallée d'Aoste,femmine,4 anni,nubile/celibe,508
Emilia-Romagna,femmine,4 anni,nubile/celibe,18247
Trentino Alto Adige / Südtirol,femmine,4 anni,nubile/celibe,5136
Emilia-Romagna,maschi,4 anni,nubile/celibe,19220
Lombardia,maschi,4 anni,nubile/celibe,44934
Valle d'Aosta / Vallée d'Aoste,maschi,4 anni,nubile/celibe,553
Veneto,maschi,4 anni,nubile/celibe,20826
Piemonte,femmine,4 anni,nubile/celibe,16875
Friuli-Venezia Giulia,femmine,4 anni,nubile/celibe,4456
Liguria,femmine,4 anni,nubile/celibe,5284
Trentino Alto Adige / Südtirol,maschi,4 anni,nubile/celibe,5441
Piemonte,maschi,4 anni,nubile/celibe,17644
Marche,maschi,4 anni,nubile/celibe,6297
Toscana,maschi,4 anni,nubile/celibe,15076
Abruzzo,maschi,4 anni,nubile/celibe,5333
Molise,femmine,4 anni,nubile/celibe,999
Umbria,femmine,4 anni,nubile/celibe,3401
Calabria,maschi,4 anni,nubile/celibe,8488
Lazio,femmine,4 anni,nubile/celibe,24440
Friuli-Venezia Giulia,maschi,4 anni,nubile/celibe,4815
Puglia,maschi,4 anni,nubile/celibe,17020
Campania,maschi,4 anni,nubile/celibe,26633
Lazio,maschi,4 anni,nubile/celibe,26180
Basilicata,femmine,4 anni,nubile/celibe,2022
Molise,maschi,4 anni,nubile/celibe,1178
Sardegna,femmine,4 anni,nubile/celibe,5470
Campania,femmine,4 anni,nubile/celibe,24897
Sicilia,femmine,4 anni,nubile/celibe,21387
Umbria,maschi,4 anni,nubile/celibe,3555
Toscana,femmine,4 anni,nubile/celibe,14307
Abruzzo,femmine,4 anni,nubile/celibe,5042
Sicilia,maschi,4 anni,nubile/celibe,22577
Sardegna,maschi,4 anni,nubile/celibe,5876
Puglia,femmine,4 anni,nubile/celibe,15900
Basilicata,maschi,4 anni,nubile/celibe,2054
Calabria,femmine,4 anni,nubile/celibe,7895
Marche,femmine,4 anni,nubile/celibe,5988
Valle d'Aosta / Vallée d'Aoste,maschi,5 anni,nubile/celibe,510
Liguria,femmine,5 anni,nubile/celibe,5342
Emilia-Romagna,maschi,5 anni,nubile/celibe,19625
Piemonte,maschi,5 anni,nubile/celibe,18230
Trentino Alto Adige / Südtirol,maschi,5 anni,nubile/celibe,5461
Veneto,femmine,5 anni,nubile/celibe,20398
Liguria,maschi,5 anni,nubile/celibe,5772
Friuli-Venezia Giulia,femmine,5 anni,nubile/celibe,4581
Lombardia,femmine,5 anni,nubile/celibe,43341
Lombardia,maschi,5 anni,nubile/celibe,45952
Friuli-Venezia Giulia,maschi,5 anni,nubile/celibe,4874
Piemonte,femmine,5 anni,nubile/celibe,17195
Valle d'Aosta / Vallée d'Aoste,femmine,5 anni,nubile/celibe,526
Trentino Alto Adige / Südtirol,femmine,5 anni,nubile/celibe,5127
Veneto,maschi,5 anni,nubile/celibe,21513
Emilia-Romagna,femmine,5 anni,nubile/celibe,18817
Toscana,maschi,5 anni,nubile/celibe,15351
Toscana,femmine,5 anni,nubile/celibe,14413
Umbria,maschi,5 anni,nubile/celibe,3742
Umbria,femmine,5 anni,nubile/celibe,3515
Marche,maschi,5 anni,nubile/celibe,6574
Marche,femmine,5 anni,nubile/celibe,6026
Lazio,maschi,5 anni,nubile/celibe,26582
Lazio,femmine,5 anni,nubile/celibe,25064
Abruzzo,maschi,5 anni,nubile/celibe,5451
Abruzzo,femmine,5 anni,nubile/celibe,5108
Molise,maschi,5 anni,nubile/celibe,1135
Molise,femmine,5 anni,nubile/celibe,1088
Campania,maschi,5 anni,nubile/celibe,26824
Campania,femmine,5 anni,nubile/celibe,25759
Puglia,maschi,5 anni,nubile/celibe,17173
Puglia,femmine,5 anni,nubile/celibe,16258
Basilicata,maschi,5 anni,nubile/celibe,2110
Basilicata,femmine,5 anni,nubile/celibe,1960
Calabria,maschi,5 anni,nubile/celibe,8391
Calabria,femmine,5 anni,nubile/celibe,8055
Sicilia,maschi,5 anni,nubile/celibe,22216
Sicilia,femmine,5 anni,nubile/celibe,21181
Sardegna,maschi,5 anni,nubile/celibe,6052
Sardegna,femmine,5 anni,nubile/celibe,5705
Molise,femmine,6 anni,nubile/celibe,1094
Campania,femmine,6 anni,nubile/celibe,26564
Calabria,maschi,6 anni,nubile/celibe,8713
Sicilia,maschi,6 anni,nubile/celibe,23276
Marche,maschi,6 anni,nubile/celibe,6654
Toscana,maschi,6 anni,nubile/celibe,16087
Umbria,femmine,6 anni,nubile/celibe,3784
Abruzzo,femmine,6 anni,nubile/celibe,5397
Puglia,femmine,6 anni,nubile/celibe,16761
Campania,maschi,6 anni,nubile/celibe,28349
Liguria,maschi,6 anni,nubile/celibe,6005
Abruzzo,maschi,6 anni,nubile/celibe,5665
Molise,maschi,6 anni,nubile/celibe,1186
Friuli-Venezia Giulia,femmine,6 anni,nubile/celibe,4841
Umbria,maschi,6 anni,nubile/celibe,3804
Veneto,femmine,6 anni,nubile/celibe,21421
Piemonte,femmine,6 anni,nubile/celibe,17865
Lazio,femmine,6 anni,nubile/celibe,26589
Puglia,maschi,6 anni,nubile/celibe,17870
Veneto,maschi,6 anni,nubile/celibe,22628
Trentino Alto Adige / Südtirol,femmine,6 anni,nubile/celibe,5229
Emilia-Romagna,maschi,6 anni,nubile/celibe,20559
Friuli-Venezia Giulia,maschi,6 anni,nubile/celibe,5041
Toscana,femmine,6 anni,nubile/celibe,15424
Piemonte,maschi,6 anni,nubile/celibe,18954
Sicilia,femmine,6 anni,nubile/celibe,22294
Emilia-Romagna,femmine,6 anni,nubile/celibe,19141
Valle d'Aosta / Vallée d'Aoste,femmine,6 anni,nubile/celibe,552
Trentino Alto Adige / Südtirol,maschi,6 anni,nubile/celibe,5569
Lazio,maschi,6 anni,nubile/celibe,27884
Valle d'Aosta / Vallée d'Aoste,maschi,6 anni,nubile/celibe,575
Marche,femmine,6 anni,nubile/celibe,6288
Lombardia,femmine,6 anni,nubile/celibe,44892
Basilicata,femmine,6 anni,nubile/celibe,2124
Basilicata,maschi,6 anni,nubile/celibe,2327
Liguria,femmine,6 anni,nubile/celibe,5715
Lombardia,maschi,6 anni,nubile/celibe,47675
Calabria,femmine,6 anni,nubile/celibe,8090
Sardegna,femmine,6 anni,nubile/celibe,5967
Sardegna,maschi,6 anni,nubile/celibe,6406
Marche,maschi,7 anni,nubile/celibe,6869
Calabria,maschi,7 anni,nubile/celibe,8885
Sicilia,maschi,7 anni,nubile/celibe,23502
Campania,maschi,7 anni,nubile/celibe,28993
Puglia,maschi,7 anni,nubile/celibe,18465
Abruzzo,maschi,7 anni,nubile/celibe,5900
Molise,femmine,7 anni,nubile/celibe,1153
Umbria,femmine,7 anni,nubile/celibe,3770
Toscana,maschi,7 anni,nubile/celibe,16394
Lazio,femmine,7 anni,nubile/celibe,26669
Lazio,maschi,7 anni,nubile/celibe,28130
Umbria,maschi,7 anni,nubile/celibe,3910
Molise,maschi,7 anni,nubile/celibe,1173
Basilicata,femmine,7 anni,nubile/celibe,2154
Sardegna,femmine,7 anni,nubile/celibe,6333
Abruzzo,femmine,7 anni,nubile/celibe,5373
Calabria,femmine,7 anni,nubile/celibe,8282
Campania,femmine,7 anni,nubile/celibe,27169
Puglia,femmine,7 anni,nubile/celibe,17468
Sardegna,maschi,7 anni,nubile/celibe,6694
Sicilia,femmine,7 anni,nubile/celibe,22544
Toscana,femmine,7 anni,nubile/celibe,15575
Basilicata,maschi,7 anni,nubile/celibe,2261
Marche,femmine,7 anni,nubile/celibe,6680
Friuli-Venezia Giulia,femmine,7 anni,nubile/celibe,4791
Emilia-Romagna,femmine,7 anni,nubile/celibe,19698
Veneto,femmine,7 anni,nubile/celibe,21861
Liguria,maschi,7 anni,nubile/celibe,5956
Lombardia,femmine,7 anni,nubile/celibe,45867
Valle d'Aosta / Vallée d'Aoste,femmine,7 anni,nubile/celibe,576
Friuli-Venezia Giulia,maschi,7 anni,nubile/celibe,5276
Veneto,maschi,7 anni,nubile/celibe,22965
Lombardia,maschi,7 anni,nubile/celibe,48841
Piemonte,femmine,7 anni,nubile/celibe,17856
Trentino Alto Adige / Südtirol,femmine,7 anni,nubile/celibe,5321
Valle d'Aosta / Vallée d'Aoste,maschi,7 anni,nubile/celibe,617
Emilia-Romagna,maschi,7 anni,nubile/celibe,20755
Liguria,femmine,7 anni,nubile/celibe,5626
Piemonte,maschi,7 anni,nubile/celibe,19320
Trentino Alto Adige / Südtirol,maschi,7 anni,nubile/celibe,5555
Campania,maschi,8 anni,nubile/celibe,29910
Puglia,maschi,8 anni,nubile/celibe,19042
Emilia-Romagna,femmine,8 anni,nubile/celibe,20205
Veneto,femmine,8 anni,nubile/celibe,22392
Umbria,femmine,8 anni,nubile/celibe,3792
Lazio,femmine,8 anni,nubile/celibe,27169
Liguria,maschi,8 anni,nubile/celibe,6119
Sicilia,maschi,8 anni,nubile/celibe,23977
Toscana,maschi,8 anni,nubile/celibe,16936
Marche,maschi,8 anni,nubile/celibe,7099
Friuli-Venezia Giulia,femmine,8 anni,nubile/celibe,5107
Abruzzo,maschi,8 anni,nubile/celibe,5953
Molise,femmine,8 anni,nubile/celibe,1171
Calabria,maschi,8 anni,nubile/celibe,8979
Emilia-Romagna,maschi,8 anni,nubile/celibe,21596
Molise,maschi,8 anni,nubile/celibe,1283
Basilicata,femmine,8 anni,nubile/celibe,2221
Lazio,maschi,8 anni,nubile/celibe,28693
Valle d'Aosta / Vallée d'Aoste,femmine,8 anni,nubile/celibe,582
Friuli-Venezia Giulia,maschi,8 anni,nubile/celibe,5374
Veneto,maschi,8 anni,nubile/celibe,23817
Lombardia,maschi,8 anni,nubile/celibe,50418
Piemonte,femmine,8 anni,nubile/celibe,18416
Lombardia,femmine,8 anni,nubile/celibe,47000
Umbria,maschi,8 anni,nubile/celibe,4058
Basilicata,maschi,8 anni,nubile/celibe,2337
Trentino Alto Adige / Südtirol,femmine,8 anni,nubile/celibe,5334
Valle d'Aosta / Vallée d'Aoste,maschi,8 anni,nubile/celibe,583
Sardegna,femmine,8 anni,nubile/celibe,6451
Puglia,femmine,8 anni,nubile/celibe,18046
Campania,femmine,8 anni,nubile/celibe,27841
Abruzzo,femmine,8 anni,nubile/celibe,5678
Toscana,femmine,8 anni,nubile/celibe,15997
Calabria,femmine,8 anni,nubile/celibe,8658
Liguria,femmine,8 anni,nubile/celibe,5916
Marche,femmine,8 anni,nubile/celibe,6648
Sicilia,femmine,8 anni,nubile/celibe,23055
Piemonte,maschi,8 anni,nubile/celibe,19568
Trentino Alto Adige / Südtirol,maschi,8 anni,nubile/celibe,5735
Sardegna,maschi,8 anni,nubile/celibe,6950
Sardegna,femmine,9 anni,nubile/celibe,6412
Piemonte,femmine,9 anni,nubile/celibe,18989
Trentino Alto Adige / Südtirol,femmine,9 anni,nubile/celibe,5296
Basilicata,femmine,9 anni,nubile/celibe,2279
Emilia-Romagna,maschi,9 anni,nubile/celibe,21846
Veneto,maschi,9 anni,nubile/celibe,24128
Toscana,femmine,9 anni,nubile/celibe,16079
Calabria,femmine,9 anni,nubile/celibe,8614
Molise,maschi,9 anni,nubile/celibe,1188
Basilicata,maschi,9 anni,nubile/celibe,2459
Liguria,femmine,9 anni,nubile/celibe,6269
Marche,femmine,9 anni,nubile/celibe,6828
Lombardia,maschi,9 anni,nubile/celibe,51185
Lombardia,femmine,9 anni,nubile/celibe,48312
Calabria,maschi,9 anni,nubile/celibe,9291
Sicilia,femmine,9 anni,nubile/celibe,23511
Campania,femmine,9 anni,nubile/celibe,29009
Valle d'Aosta / Vallée d'Aoste,maschi,9 anni,nubile/celibe,637
Sicilia,maschi,9 anni,nubile/celibe,24671
Puglia,femmine,9 anni,nubile/celibe,18165
Umbria,femmine,9 anni,nubile/celibe,3786
Molise,femmine,9 anni,nubile/celibe,1109
Piemonte,maschi,9 anni,nubile/celibe,20059
Trentino Alto Adige / Südtirol,maschi,9 anni,nubile/celibe,5638
Friuli-Venezia Giulia,maschi,9 anni,nubile/celibe,5409
Sardegna,maschi,9 anni,nubile/celibe,7017
Abruzzo,femmine,9 anni,nubile/celibe,5537
Abruzzo,maschi,9 anni,nubile/celibe,5860
Valle d'Aosta / Vallée d'Aoste,femmine,9 anni,nubile/celibe,594
Emilia-Romagna,femmine,9 anni,nubile/celibe,20648
Umbria,maschi,9 anni,nubile/celibe,4070
Toscana,maschi,9 anni,nubile/celibe,17073
Friuli-Venezia Giulia,femmine,9 anni,nubile/celibe,5184
Liguria,maschi,9 anni,nubile/celibe,6348
Marche,maschi,9 anni,nubile/celibe,7279
Lazio,femmine,9 anni,nubile/celibe,27002
Puglia,maschi,9 anni,nubile/celibe,19329
Veneto,femmine,9 anni,nubile/celibe,22743
Campania,maschi,9 anni,nubile/celibe,30374
Lazio,maschi,9 anni,nubile/celibe,28980
Molise,femmine,10 anni,nubile/celibe,1189
Campania,maschi,10 anni,nubile/celibe,30743
Friuli-Venezia Giulia,maschi,10 anni,nubile/celibe,5474
Emilia-Romagna,femmine,10 anni,nubile/celibe,20416
Lazio,femmine,10 anni,nubile/celibe,27646
Abruzzo,maschi,10 anni,nubile/celibe,6070
Calabria,maschi,10 anni,nubile/celibe,9110
Basilicata,femmine,10 anni,nubile/celibe,2345
Puglia,maschi,10 anni,nubile/celibe,19568
Umbria,femmine,10 anni,nubile/celibe,4038
Toscana,maschi,10 anni,nubile/celibe,17748
Veneto,femmine,10 anni,nubile/celibe,23320
Trentino Alto Adige / Südtirol,femmine,10 anni,nubile/celibe,5491
Marche,maschi,10 anni,nubile/celibe,7304
Liguria,maschi,10 anni,nubile/celibe,6553
Emilia-Romagna,maschi,10 anni,nubile/celibe,21760
Lombardia,femmine,10 anni,nubile/celibe,48331
Veneto,maschi,10 anni,nubile/celibe,24579
Valle d'Aosta / Vallée d'Aoste,femmine,10 anni,nubile/celibe,592
Lazio,maschi,10 anni,nubile/celibe,28817
Piemonte,femmine,10 anni,nubile/celibe,19020
Basilicata,maschi,10 anni,nubile/celibe,2546
Molise,maschi,10 anni,nubile/celibe,1316
Umbria,maschi,10 anni,nubile/celibe,4196
Sardegna,femmine,10 anni,nubile/celibe,6549
Toscana,femmine,10 anni,nubile/celibe,16388
Valle d'Aosta / Vallée d'Aoste,maschi,10 anni,nubile/celibe,621
Lombardia,maschi,10 anni,nubile/celibe,51086
Calabria,femmine,10 anni,nubile/celibe,8918
Campania,femmine,10 anni,nubile/celibe,29443
Trentino Alto Adige / Südtirol,maschi,10 anni,nubile/celibe,5759
Marche,femmine,10 anni,nubile/celibe,6857
Friuli-Venezia Giulia,femmine,10 anni,nubile/celibe,5093
Liguria,femmine,10 anni,nubile/celibe,6300
Sicilia,maschi,10 anni,nubile/celibe,25199
Puglia,femmine,10 anni,nubile/celibe,18430
Abruzzo,femmine,10 anni,nubile/celibe,5722
Sicilia,femmine,10 anni,nubile/celibe,23904
Sardegna,maschi,10 anni,nubile/celibe,6943
Piemonte,maschi,10 anni,nubile/celibe,20320
Valle d'Aosta / Vallée d'Aoste,femmine,11 anni,nubile/celibe,576
Lombardia,femmine,11 anni,nubile/celibe,47685
Trentino Alto Adige / Südtirol,femmine,11 anni,nubile/celibe,5347
Piemonte,femmine,11 anni,nubile/celibe,19062
Toscana,maschi,11 anni,nubile/celibe,17550
Veneto,femmine,11 anni,nubile/celibe,23106
Piemonte,maschi,11 anni,nubile/celibe,20221
Lombardia,maschi,11 anni,nubile/celibe,50594
Liguria,femmine,11 anni,nubile/celibe,5982
Friuli-Venezia Giulia,femmine,11 anni,nubile/celibe,5303
Liguria,maschi,11 anni,nubile/celibe,6606
Friuli-Venezia Giulia,maschi,11 anni,nubile/celibe,5469
Puglia,femmine,11 anni,nubile/celibe,18594
Sardegna,femmine,11 anni,nubile/celibe,6559
Trentino Alto Adige / Südtirol,maschi,11 anni,nubile/celibe,5787
Molise,maschi,11 anni,nubile/celibe,1276
Sicilia,femmine,11 anni,nubile/celibe,23717
Veneto,maschi,11 anni,nubile/celibe,24197
Umbria,maschi,11 anni,nubile/celibe,4250
Marche,maschi,11 anni,nubile/celibe,7209
Lazio,femmine,11 anni,nubile/celibe,27330
Valle d'Aosta / Vallée d'Aoste,maschi,11 anni,nubile/celibe,624
Umbria,femmine,11 anni,nubile/celibe,3962
Campania,maschi,11 anni,nubile/celibe,31307
Puglia,maschi,11 anni,nubile/celibe,19832
Sardegna,maschi,11 anni,nubile/celibe,6875
Emilia-Romagna,femmine,11 anni,nubile/celibe,20226
Lazio,maschi,11 anni,nubile/celibe,29329
Abruzzo,femmine,11 anni,nubile/celibe,5672
Basilicata,femmine,11 anni,nubile/celibe,2321
Calabria,femmine,11 anni,nubile/celibe,8749
Sicilia,maschi,11 anni,nubile/celibe,24853
Toscana,femmine,11 anni,nubile/celibe,16256
Abruzzo,maschi,11 anni,nubile/celibe,5915
Molise,femmine,11 anni,nubile/celibe,1222
Campania,femmine,11 anni,nubile/celibe,29968
Emilia-Romagna,maschi,11 anni,nubile/celibe,21701
Marche,femmine,11 anni,nubile/celibe,6761
Basilicata,maschi,11 anni,nubile/celibe,2522
Calabria,maschi,11 anni,nubile/celibe,9355
Emilia-Romagna,maschi,12 anni,nubile/celibe,21435
Valle d'Aosta / Vallée d'Aoste,femmine,12 anni,nubile/celibe,582
Valle d'Aosta / Vallée d'Aoste,maschi,12 anni,nubile/celibe,659
Liguria,femmine,12 anni,nubile/celibe,6258
Liguria,maschi,12 anni,nubile/celibe,6485
Lombardia,femmine,12 anni,nubile/celibe,47730
Piemonte,femmine,12 anni,nubile/celibe,18754
Piemonte,maschi,12 anni,nubile/celibe,19874
Calabria,femmine,12 anni,nubile/celibe,8967
Toscana,femmine,12 anni,nubile/celibe,16226
Campania,femmine,12 anni,nubile/celibe,29832
Sicilia,femmine,12 anni,nubile/celibe,23846
Lombardia,maschi,12 anni,nubile/celibe,50914
Marche,femmine,12 anni,nubile/celibe,6683
Abruzzo,femmine,12 anni,nubile/celibe,5541
Puglia,femmine,12 anni,nubile/celibe,18890
Trentino Alto Adige / Südtirol,femmine,12 anni,nubile/celibe,5426
Sardegna,maschi,12 anni,nubile/celibe,7036
Sardegna,femmine,12 anni,nubile/celibe,6501
Basilicata,maschi,12 anni,nubile/celibe,2612
Sicilia,maschi,12 anni,nubile/celibe,25877
Abruzzo,maschi,12 anni,nubile/celibe,5926
Marche,maschi,12 anni,nubile/celibe,7083
Calabria,maschi,12 anni,nubile/celibe,9656
Puglia,maschi,12 anni,nubile/celibe,19764
Emilia-Romagna,femmine,12 anni,nubile/celibe,20106
Campania,maschi,12 anni,nubile/celibe,31875
Molise,femmine,12 anni,nubile/celibe,1211
Lazio,femmine,12 anni,nubile/celibe,27278
Friuli-Venezia Giulia,femmine,12 anni,nubile/celibe,5281
Umbria,femmine,12 anni,nubile/celibe,3904
Basilicata,femmine,12 anni,nubile/celibe,2389
Veneto,maschi,12 anni,nubile/celibe,24364
