"Anno, Regione ,Forza lavoro % età 15-64 anni"
"2004,Lazio,63.60,"
"2004,Abruzzo,61.19,"
"2004,Molise,58.68,"
"2004,Campania,53.48,"
"2004,Puglia,53.36,"
"2004,Basilicata,56.43,"
"2004,Calabria,53.74,"
"2004,Sicilia,52.31,"
"2004,Sardegna,59.55,"
"2005,Piemonte,67.16,"
"2005,Valle d'Aosta,68.55,"
"2005,Lombardia,68.30,"
"2005,Trentino-Alto Adige,69.30,"
"2005,Veneto,67.45,"
"2005,Friuli-Venezia Giulia,65.78,"
"2005,Liguria,64.80,"
"2005,Emilia-Romagna,71.13,"
"2005,Toscana,67.35,"
"2005,Umbria,65.62,"
"2005,Marche,66.66,"
"2005,Lazio,63.32,"
"2005,Abruzzo,62.18,"
"2005,Molise,56.83,"
"2005,Campania,51.85,"
"2005,Puglia,52.11,"
"2005,Basilicata,56.18,"
"2005,Calabria,52.13,"
"2005,Sicilia,52.65,"
"2005,Sardegna,59.16,"
"2006,Piemonte,67.51,"
"2006,Valle d'Aosta,69.12,"
"2006,Lombardia,69.15,"
"2006,Trentino-Alto Adige,69.47,"
"2006,Veneto,68.26,"
"2006,Friuli-Venezia Giulia,67.16,"
"2006,Liguria,65.55,"
"2006,Emilia-Romagna,71.86,"
"2006,Toscana,68.13,"
"2006,Umbria,66.29,"
"2006,Marche,67.51,"
"2006,Lazio,64.21,"
"2006,Abruzzo,61.65,"
"2006,Molise,58.18,"
"2006,Campania,50.70,"
"2006,Puglia,52.48,"
"2006,Basilicata,56.25,"
"2006,Calabria,52.38,"
"2006,Sicilia,52.12,"
"2006,Sardegna,58.69,"
"2007,Piemonte,67.84,"
"2007,Valle d'Aosta,70.37,"
"2007,Lombardia,69.16,"
"2007,Trentino-Alto Adige,69.97,"
"2007,Veneto,68.09,"
"2007,Friuli-Venezia Giulia,67.86,"
"2007,Liguria,67.03,"
"2007,Emilia-Romagna,72.38,"
"2007,Toscana,67.73,"
"2007,Umbria,67.73,"
"2007,Marche,67.68,"
"2007,Lazio,63.83,"
"2007,Abruzzo,61.67,"
"2007,Molise,58.33,"
"2007,Campania,49.29,"
"2007,Puglia,52.58,"
"2007,Basilicata,54.84,"
"2007,Calabria,50.62,"
"2007,Sicilia,51.27,"
"2007,Sardegna,58.61,"
"2008,Piemonte,68.76,"
"2008,Valle d'Aosta,70.18,"
"2008,Lombardia,69.65,"
"2008,Trentino-Alto Adige,70.60,"
"2008,Veneto,68.89,"
"2008,Friuli-Venezia Giulia,68.24,"
"2008,Liguria,67.52,"
"2008,Emilia-Romagna,72.57,"
"2008,Toscana,68.88,"
"2008,Umbria,68.73,"
"2008,Marche,67.89,"
"2008,Lazio,65.12,"
"2008,Abruzzo,63.14,"
"2008,Molise,59.62,"
"2008,Campania,48.65,"
"2008,Puglia,52.90,"
"2008,Basilicata,55.84,"
"2008,Calabria,50.23,"
"2008,Sicilia,51.21,"
"2008,Sardegna,59.88,"
"2009,Piemonte,68.80,"
"2009,Valle d'Aosta,70.10,"
"2009,Lombardia,69.56,"
"2009,Trentino-Alto Adige,70.80,"
"2009,Veneto,67.91,"
"2009,Friuli-Venezia Giulia,67.02,"
"2009,Liguria,67.35,"
"2009,Emilia-Romagna,72.04,"
"2009,Toscana,68.85,"
"2009,Umbria,67.59,"
"2009,Marche,68.37,"
"2009,Lazio,65.04,"
"2009,Abruzzo,60.66,"
"2009,Molise,57.56,"
"2009,Campania,46.91,"
"2009,Puglia,51.50,"
"2009,Basilicata,54.62,"
"2009,Calabria,48.72,"
"2009,Sicilia,50.62,"
"2009,Sardegna,58.74,"
"2010,Piemonte,68.82,"
"2010,Valle d'Aosta,70.55,"
"2010,Lombardia,68.98,"
"2010,Trentino-Alto Adige,71.04,"
"2010,Veneto,68.44,"
"2010,Friuli-Venezia Giulia,67.46,"
"2010,Liguria,67.49,"
"2010,Emilia-Romagna,71.56,"
"2010,Toscana,68.03,"
"2010,Umbria,67.26,"
"2010,Marche,67.58,"
"2010,Lazio,65.33,"
"2010,Abruzzo,60.91,"
"2010,Molise,55.85,"
"2010,Campania,46.44,"
"2010,Puglia,51.41,"
"2010,Basilicata,54.22,"
"2010,Calabria,47.94,"
"2010,Sicilia,50.06,"
"2010,Sardegna,59.52,"
"2011,Piemonte,69.71,"
"2011,Valle d'Aosta,70.77,"
"2011,Lombardia,68.72,"
"2011,Trentino-Alto Adige,71.30,"
"2011,Veneto,68.36,"
"2011,Friuli-Venezia Giulia,67.76,"
"2011,Liguria,67.57,"
"2011,Emilia-Romagna,71.77,"
"2011,Toscana,68.06,"
"2011,Umbria,66.77,"
"2011,Marche,67.37,"
"2011,Lazio,64.64,"
"2011,Abruzzo,62.14,"
"2011,Molise,56.24,"
"2011,Campania,46.72,"
"2011,Puglia,51.61,"
"2011,Basilicata,54.16,"
"2011,Calabria,48.76,"
"2011,Sicilia,49.51,"
"2011,Sardegna,60.27,"
"2012,Piemonte,70.34,"
"2012,Valle d'Aosta,71.55,"
"2012,Lombardia,69.98,"
"2012,Trentino-Alto Adige,72.37,"
"2012,Veneto,69.61,"
"2012,Friuli-Venezia Giulia,68.34,"
"2012,Liguria,67.67,"
"2012,Emilia-Romagna,72.83,"
"2012,Toscana,69.41,"
"2012,Umbria,68.31,"
"2012,Marche,69.07,"
"2012,Lazio,65.72,"
"2012,Abruzzo,63.84,"
"2012,Molise,57.73,"
"2012,Campania,49.61,"
"2012,Puglia,53.47,"
"2012,Basilicata,54.96,"
"2012,Calabria,51.67,"
"2012,Sicilia,50.78,"
"2012,Sardegna,61.39,"
"2013,Piemonte,69.88,"
"2013,Valle d'Aosta,71.74,"
"2013,Lombardia,70.67,"
"2013,Trentino-Alto Adige,72.54,"
"2013,Veneto,68.59,"
"2013,Friuli-Venezia Giulia,68.36,"
"2013,Liguria,67.60,"
"2013,Emilia-Romagna,72.57,"
"2013,Toscana,70.04,"
"2013,Umbria,68.32,"
"2013,Marche,68.79,"
"2013,Lazio,65.16,"
"2013,Abruzzo,62.01,"
"2013,Molise,56.39,"
"2013,Campania,50.76,"
"2013,Puglia,52.92,"
"2013,Basilicata,54.47,"
"2013,Calabria,50.31,"
"2013,Sicilia,49.92,"
"2013,Sardegna,58.77,"
